Engagements,Followers at Posting,Type,Description,Month,Weekday,Seconds
775600,36899744,Video,@money23green powers his pregame warmup with the #PowerbeatsPro ?? for a big performance in Portland!,May,Sunday,12709
459715,36899744,Photo,@money23green secures his 3rd triple-double of the 2019 #NBAPlayoffs for the @warriors with 18/11/11 through three quarters! #TripleDoubleAlert,May,Sunday,11926
810406,36899744,Video,"@stephencurry30 from deep, plus the foul! #NBAPlayoffs (??: ESPN)",May,Sunday,10402
686960,36899744,Video,@meyersleonard11 gets the @trailblazers crowd UP! #NBAPlayoffs (??: ESPN),May,Sunday,9828
626655,36899744,Video,@zachcollins_33 finds @eneskanter11 in the paint for the @trailblazers! #NBAPlayoffs (??: ESPN),May,Sunday,7579
747095,36872342,Video,"The @warriors & @trailblazers get to their spots for three! #NBABreakdown
...
??: WCF Game 3
?: 9:00pm/et
??: ESPN",May,Saturday,76089
577007,36872342,Video,"In @budweiserusa #LegendaryMoments history.. we showcase Rick Barrys 55-point performance in Game 3 of the 1967 #NBAFinals for the @warriors! ...Who do you have in Game 3, @warriors or @trailblazers?",May,Saturday,66860
359722,36872342,Album,"From playing in the @nbagleague to facing his brother in the Western Conference Finals, its been QUITE the journey for @sdotcurry!",May,Saturday,54673
435542,36872342,Photo,"The Western Conference Finals heads up to Portland for Game 3, 9:00pm/et on ESPN!",May,Saturday,48742
470061,36872342,Photo,The @bucks join the @warriors with 2-0 Conference leads! #NBAPlayoffs,May,Saturday,14420
603424,36872342,Video,@giannis_an34 powers the @bucks to 2-0 ECF lead with 30 points & 17 boards!,May,Saturday,11851
647517,36872342,Video,@giannis_an34 muscles into the lane for the and-one! #NBAPlayoffs,May,Saturday,10040
661494,36872342,Video,@giannis_an34 STRETCHES for the SLAM on TNT!,May,Saturday,3445
661494,36872342,Video,@giannis_an34 with the SLAM & SWAT to open Game 2 of the Eastern Conference Finals on TNT!,May,Saturday,2598
465482,36846041,Album,?????? Presenting the finalists for the six awards that honor the top performers from the 2018-19 regular season at the 2019 #NBAAwards (9:00pm/et June 24th @nbaontnt)!,May,Saturday,862
608357,36846041,Video,"Ahead of Game 2 of the Eastern Conference Finals (8:30pm/et @nbaontnt), we flash back to Kawhi at the #NBACombine (repost @nbahistory)!",May,Friday,84517
507998,36846041,Video,"?? @giannis_an34s clutch 4th Q in Game 1 of the ECF! #NBABreakdown
...
??: @raptors/@bucks G2
?: 8:30pm/et
??: @nbaontnt",May,Friday,76400
471492,36846041,Video,"Our peeps @spiceadams, @tristanj22, @jesser & @iamkrislondon of the #NBAPlaymakers test their skills at the #NBACombine powered by Under Armour! ....coverage continues 3:00pm/et ESPN2",May,Friday,66155
297294,36846041,Photo,"Will the @raptors even the ECF up 1-1, or will the @bucks go up 2-0... 8:30pm/et @nbaontnt!",May,Friday,52193
470368,36846041,Photo,The @warriors take 2-0 series lead in the Western Conference Finals!,May,Friday,20900
608834,36846041,Video,@andre with the big defensive stop for the @warriors! #PhantomCam,May,Friday,18269
775812,36846041,Video,The @warriors close out on 14-3 run to win Game 2 of the Western Conference Finals!,May,Friday,14982
652240,36846041,Video,Well have the film clip at home... @stephencurry30 on playing his brother @sdotcurry! #NBAPlayoffs,May,Friday,14689
427470,36846041,Photo,The @warriors take 2-0 WCF lead over @trailblazers with 114-111 home W!,May,Friday,14458
675140,36846041,Video,@andres defense seals the @warriors Game 2 victory! #NBAPlayoffs,May,Friday,13481
538831,36846041,Video,@sdotcurry triple & @money23green to @flyght5 lob late in Game 2! #NBAPlayoffs,May,Friday,13036
661506,36846041,Video,What a play by @damianlillard!!,May,Friday,12072
597919,36846041,Video,@damianlillard finds the cutting @meyersleonard11 for the @trailblazers ?? on ESPN!,May,Friday,11695
647529,36846041,Video,The @trailblazers sink franchise #NBAPlayoffs high for a half with 11 made threes in the first-half on ESPN!,May,Friday,9898
655460,36846041,Video,@jonasjerebko gets flashy to @jbell! (??: ESPN),May,Friday,7059
689726,36817926,Video,The @warriors & @trailblazers arrive for Game 2 of the Western Conference Finals on ESPN!,May,Thursday,84523
420467,36817926,Album,?? Only 2 weeks left until the #NBAFinals presented by @youtube TV!,May,Thursday,81083
580642,36817926,Video,"@money23green tosses it to @andre! #NBABreakdown
...
??: @trailblazers/@warriors G2
?: 9:00pm/et
??: ESPN",May,Thursday,68358
674842,36817926,Video,"Before the #NBACombine powered by Under Armour gets underway (3:00pm/et ESPN2), we throw it back to @stephencurry30 in 2009!",May,Thursday,59256
368291,36817926,Photo,"Will the @trailblazers even the WCF up 1-1, or will the @warriors go up 2-0... 9:00pm/et @nbaonespn!",May,Thursday,52559
454003,36817926,Photo,The @bucks join @warriors with 1-0 Conference Finals lead! #NBAPlayoffs,May,Thursday,16341
661518,36817926,Video,Brook Lopez puts up 29 points & adds 4 blocks in the @bucks ECF Game 1 W!,May,Thursday,11835
350706,36817926,Photo,The @bucks take 1-0 ECF series lead over @raptors with 108-100 victory at home! #NBAPlayoffs,May,Thursday,10986
661518,36817926,Video,Brook Lopez with the BIG SLAM & TRIPLE late for the @bucks!,May,Thursday,10848
661518,36817926,Video,@thebledshow with a pair of TOUGH finishes on TNT!,May,Thursday,7120
725178,36817926,Video,Shooters touch!,May,Thursday,6848
569098,36817926,Video,@pskills43 on the attack! #PhantomCam,May,Thursday,6229
661518,36817926,Video,The @raptors find Kawhi in the lane to close the half on TNT!,May,Thursday,5986
597930,36817926,Video,@pskills43 RISES UP for the @raptors! (??: @nbaontnt),May,Thursday,3717
647540,36817926,Video,@giannis_an34 is out running early on TNT! #NBAPlayoffs,May,Thursday,2749
675423,36784913,Video,We check in with the #MtnDew3PT leaders of the Conference Semis!,May,Wednesday,81682
390471,36784913,Photo,"During the Eastern Conference Semifinals, Kawhi Leonard scored the 3rd-most total points in a series since 1977! ... ??: ECF GAME 1 ?: 8:30pm/et ??: @nbaontnt",May,Wednesday,79544
680212,36784913,Video,"The #NBABreakdown stats on Kawhis incredible #TissotBuzzerBeater! #ThisIsYourTime ...
??: ECF GAME 1
?: 8:30pm/et
??: @nbaontnt",May,Wednesday,75918
304208,36784913,Photo,Larry Bird & @magicjohnson will be co-recipients of the Lifetime Achievement Award at the 2019 #NBAAwards presented by Kia (9:00pm/et 6/24 @nbaontnt)!,May,Wednesday,68730
463910,36784913,Video,"Both selected 15th overall, Kawhi Leonard & @giannis_an34 headline the @raptors/@bucks Eastern Conference Finals (8:30pm/et @nbaontnt)!",May,Wednesday,62297
290887,36784913,Photo,The Eastern Conference Finals between the @raptors & @bucks tips off TONIGHT... 8:30pm/et @nbaontnt!,May,Wednesday,55364
460231,36784913,Photo,The @warriors open up the Western Conference Finals with a home victory for 1-0 series lead!,May,Wednesday,17555
433009,36784913,Photo,The @warriors take 1-0 WCF series lead over @trailblazers with 116-94 victory at home! #NBAPlayoffs,May,Wednesday,13484
773272,36784913,Video,@stephencurry30 goes high off the glass to his familys delight! (??: ESPN),May,Wednesday,11933
711896,36784913,Video,@stephencurry30 steps into his 8th triple of the night on ESPN!,May,Wednesday,10486
711896,36784913,Video,@stephencurry30 puts up back-to-back triples to end the half on ESPN!,May,Wednesday,8795
668994,36784913,Video,@andre finds @jonasjerebko in transition for the @warriors! #NBAPlayoffs (??: ESPN),May,Wednesday,6896
449479,36784913,Photo,Dell & Sonya Curry arrive for tonights Western Conference Finals opener!,May,Wednesday,5325
590706,36784913,Video,@damianlillard steps back early for the @trailblazers on ESPN! #NBAPlayoffs,May,Wednesday,4762
449479,36784913,Photo,The 2019 #NBADraftLottery order is set.,May,Wednesday,4177
666938,36756045,Video,@meyersleonard11 in the Bright Citron Nike LeBron 16 HFR! #NBAKicks,May,Tuesday,84911
675435,36756045,Video,Who had your fave ASSIST from the Western Conference Semis? #StateFarmAssists,May,Tuesday,65821
375610,36756045,Photo,The Western Conference Finals between the @trailblazers & @warriors tips off TONIGHT... 9:00pm/et on ESPN!,May,Tuesday,59522
410237,36756045,Photo,Watch the 2019 #NBADraftLottery Presented by State Farm tonight on ESPN at 8:30pm/et.,May,Tuesday,48657
426732,36756045,Album,"For the first time in @nbahistory, brothers will meet in the Conference Finals as @stephencurry30 & the @warriors face @sdotcurry & the @trailblazers!",May,Tuesday,4714
602840,36716811,Video,Kenny Wooten (@kenny) shows off his athleticism and gets up to 150.5 inches at the Max Jump! ?? #EliteCamp @oregonmbb (repost @nbagleague),May,Monday,82872
384270,36716811,Photo,Four remain in the 2019 #NBAPlayoffs!,May,Monday,61082
297205,36716811,Album,?? all the angles of Kawhi Leonards incredible #TissotBuzzerBeater for the @raptors win! #ThisIsYourTime,May,Monday,48700
352101,36716811,Photo,The @warriors @trailblazers @bucks & @raptors advance to the Conference Finals!,May,Monday,14042
789225,36716811,Video,The friendly bounce up North! #TissotBuzzerBeater #ThisIsYourTime,May,Monday,7368
365493,36716811,Photo,The @raptors defeat the @sixers 92-90 in GAME 7 to advance to the Eastern Conference Finals!,May,Monday,6709
719941,36716811,Video,Kawhi gets the friendly bounce with the #TissotBuzzerBeater for the @raptors win to advance to the ECF! #ThisIsYourTime,May,Monday,5967
402171,36716811,Photo,The @raptors advance to the Eastern Conference Finals!,May,Monday,5822
640251,36716811,Video,@bensimmons spins to set up @joelembiid! (??: @nbaontnt),May,Monday,2246
668021,36716811,Video,Poetry in Motion! #PhantomCam,May,Monday,1981
769422,36686842,Video,"Kawhi goes up on the right, finishes under the left!! (??: @nbaontnt)",May,Monday,576
693385,36686842,Video,Kawhi with the STEAL & SLAM for the @raptors on TNT! #NBAPlayoffs,May,Sunday,85688
646168,36686842,Video,@3jmccollum puts up 37 to lead the @trailblazers in road GAME 7 victory to advance to the WCF!,May,Sunday,84341
365421,36686842,Photo,The @trailblazers defeat the @nuggets 100-96 in GAME 7 to advance to the Western Conference Finals!,May,Sunday,83189
654401,36686842,Video,The best action down the stretch as the @trailblazers win GAME 7 on the road to advance to the WCF!,May,Sunday,81592
654401,36686842,Video,@damianlillard with a Mothers Day hug for mom following the GAME 7 WIN!,May,Sunday,81461
402092,36686842,Photo,The @trailblazers advance to the Western Conference Finals! #NBAPlayoffs,May,Sunday,80038
633797,36686842,Video,@3jmccollum hustles back for the CHASEDOWN! #NBAonABC,May,Sunday,79343
591498,36686842,Video,?? how the @sixers & @raptors got to GAME 7 (7:00pm/et @nbaontnt)!,May,Sunday,77779
633797,36686842,Video,"@thats_g_ gets it to fall, plus the foul! #NBAonABC",May,Sunday,77079
578158,36686842,Video,@jmglitxh27 hangs for the @nuggets finish in GAME 7! #NBAonABC,May,Sunday,73693
288127,36686842,Photo,The @sixers & @raptors each look to advance to the Eastern Conference Finals with a GAME 7 WIN... 7:00pm/et @nbaontnt!,May,Sunday,65685
639194,36686842,Video,?? how the @trailblazers & @nuggets got to GAME 7 (3:30pm/et #NBAonABC)!,May,Sunday,60832
333581,36686842,Photo,The @trailblazers & @nuggets each look to advance to the Western Conference Finals with a GAME 7 WIN... 3:30pm/et #NBAonABC!,May,Sunday,56434
793110,36686842,Video,?? HAPPY MOTHERS DAY! ??,May,Sunday,52386
403891,36686842,Photo,Its GAME 7 SUNDAY!,May,Sunday,43047
754705,36655209,Video,"?? DAME: The Origin Story ??
...
??: BLAZERS/NUGGETS Game 7
?: 3:30pm/et Sunday
??: #NBAonABC",May,Saturday,80031
413357,36655209,Photo,Weve got two GAME 7s on Sunday with trips to the Conference Finals on the line!! #NBAPlayoffs,May,Saturday,57890
516495,36655209,Photo,The @warriors advance to the Western Conference Finals... with two Game 7s on deck Sunday!,May,Saturday,19934
798306,36655209,Video,@stephencurry30 puts up 23 in the 4th to lead the @warriors to victory! #NBAPlayoffs,May,Saturday,15017
469391,36655209,Photo,The @warriors defeat the @houstonrockets 118-113 to advance to the Western Conference Finals!,May,Saturday,14809
459356,36655209,Photo,The @warriors advance to the Western Conference Finals! #NBAPlayoffs,May,Saturday,13275
675214,36655209,Video,@klaythompson with the late triple to extend the @warriors lead on ESPN! #NBAPlayoffs,May,Saturday,12857
648043,36655209,Video,@jharden13 with the save & triple for the @houstonrockets on ESPN! #NBAPlayoffs,May,Saturday,10260
689788,36655209,Video,@sdot1414 soars for the @warriors SLAM on ESPN!,May,Saturday,7666
647599,36655209,Video,@cp3 gets to his spot in transition on ESPN! #NBAPlayoffs,May,Saturday,7599
379390,36655209,Album,Jay Z & @beyonce courtside for @warriors/@houstonrockets Game 6 on ESPN! #NBAPlayoffs #NBACelebRow,May,Saturday,4817
610554,36632094,Video,"The @houstonrockets move the ball to find @officialeg10 wide open on the wing! #NBABreakdown!
...
??: WARRIORS/ROCKETS Game 6
?: 9:00pm/et ??: ESPN",May,Friday,82141
346280,36632094,Photo,Its WIN or Go Home for the @houstonrockets as the @warriors look to advance to the Western Conference Finals... 9:00pm/et @nbaonespn!,May,Friday,56757
365969,36632094,Photo,The @sixers & @trailblazers each win at home to force GAME 7s on Sunday!,May,Friday,22335
504415,36632094,Video,"@damianlillard (32p), @3jmccollum (30p) & @hoodie5 (25p) combine for 87 to lead the @trailblazers in Game 6 victory! #NBAPlayoffs",May,Friday,20074
552958,36632094,Video,@damianlillard & @3jmccollum head to the lockerroom with a @trailblazers Game 6 W to force a GAME 7 on Sunday! #NBAPlayoffs,May,Friday,19449
365969,36632094,Photo,The @trailblazers force a GAME 7 with 119-108 victory over the @nuggets at home! #NBAPlayoffs,May,Friday,19354
678849,36632094,Video,"Thats tough, @damianlillard!!",May,Friday,18045
606171,36632094,Video,@hoodie5s up to a new #NBAPlayoffs career-high 22 for the @trailblazers on ESPN!,May,Friday,16963
808337,36632094,Video,Logo Lillard pulls up! (??: ESPN),May,Friday,15830
647611,36632094,Video,@damianlillard is finding his groove on ESPN! #NBAPlayoffs,May,Friday,13121
380131,36632094,Photo,The @sixers force a GAME 7 with 112-101 victory over the @raptors at home! #NBAPlayoffs,May,Friday,10507
603511,36632094,Video,@joelembiids block sets up @bensimmons in transition!,May,Friday,7504
661590,36632094,Video,@jimmybutler follows up his miss on ESPN!,May,Friday,4722
725257,36632094,Video,The KLAW elevates for the board on ESPN!,May,Friday,3170
647611,36632094,Video,@tobiasharris opens up scoring in Philadelphia on ESPN! #NBAPlayoffs,May,Friday,2133
556966,36608321,Video,"?? Nikola Jokics Court Vision! #NBABreakdown
...
??: @nuggets x @trailblazers Game 6
?: 10:30pm/et
??: @nbaonespn",May,Thursday,72470
299679,36608321,Photo,Its WIN or Go Home for the @sixers as the @raptors look to advance to the Eastern Conference Finals... 8:00pm/et @nbaonespn!,May,Thursday,58898
627177,36608321,Video,I knew that people would doubt me. - @damianlillard is #HeretoCreate,May,Thursday,52447
453378,36608321,Photo,The @Bucks advance to the Eastern Conference Finals (4-1) and @warriors take 3-2 series lead in Wednesdays #NBAPlayoffs action!,May,Thursday,30610
608922,36608321,Video,@klaythompson finishes with the left for the clutch @warriors bucket! #PhantomCam,May,Thursday,20030
759530,36608321,Video,@warriors come up clutch down the stretch to take a 3-2 series lead! #NBAPlayoffs,May,Thursday,19756
498876,36608321,Photo,The @warriors take a 3-2 series lead with 104-99 home win! #NBAPlayoffs,May,Thursday,19326
672657,36608321,Video,@officialeg10 between the eyes! (??: @nbaontnt),May,Thursday,17686
673117,36608321,Video,@jharden13 dumps it off to @pjtucker for the SLAM! (??: @nbaontnt),May,Thursday,15350
615205,36608321,Video,"@stephencurry30 finishes, through the lens of our slo-mo #PhantomCam! #NBAPlayoffs",May,Thursday,14564
635749,36608321,Video,@easymoneysniper hits ahead to @stephencurry30 on TNT! #NBAPlayoffs,May,Thursday,13009
647623,36608321,Video,@andre ELEVATES early in Game 5 on TNT! #NBAPlayoffs,May,Thursday,10149
661602,36608321,Video,"Game 5 in Oakland, @nbaontnt NEXT!",May,Thursday,9524
385369,36608321,Photo,The @bucks advance to the Eastern Conference Finals! #NBAPlayoffs,May,Thursday,9021
771154,36608321,Video,Brogdon UP TOP to Hill! #NBAPlayoffs (??: TNT),May,Thursday,8404
788535,36608321,Video,@giannis_an34 & @kyrieirving show out before the half on TNT! #NBAPlayoffs,May,Thursday,4662
590770,36608321,Video,@giannis_an34 protects the paint for the @bucks on TNT! #NBAPlayoffs,May,Thursday,1523
341420,36590040,Photo,"For the first time in @nbahistory, two opposing players are each averaging 35+ PPG in #NBAPlayoffs series!
??: @houstonrockets x @warriors Game 5 ?: 10:30pm/et ??: @nbaontnt",May,Thursday,364
576028,36590040,Video,"?? @money23green micd up! ??
...
??: @houstonrockets x @warriors Game 5
?: 10:30pm/et ??: @nbaontnt",May,Wednesday,81825
471569,36590040,Video,"In @BudweiserUSA #LegendaryMoments history, we showcase Gerald Hendersons clutch steal for the @celtics in Game 2 of the 1984 #NBAFinals! Who do you have tonight... @celtics or @bucks?",May,Wednesday,75718
322058,36590040,Photo,The @houstonrockets & @warriors each look to take 3-2 series lead with a win... 10:30pm/et @nbaontnt!,May,Wednesday,59689
360753,36590040,Photo,Its WIN or Go Home for the @celtics as the @bucks look to advance to the Eastern Conference Finals... 8:00pm/et @nbaontnt!,May,Wednesday,53712
358126,36590040,Photo,The @raptors & @nuggets each win at home for 3-2 series leads! #NBAPlayoffs,May,Wednesday,24753
606193,36590040,Video,Nikola Jokic (25p/19r) & @paulmillsap4 (24p/8r) power the @nuggets Game 5 victory for 3-2 lead! #NBAPlayoffs,May,Wednesday,21692
358126,36590040,Photo,The @nuggets take 3-2 series lead over @trailblazers with 124-98 at home! #NBAPlayoffs,May,Wednesday,19379
641715,36590040,Video,"@jmglitxh27 under the rim, three times! #NBAPlayoffs (??: @nbaontnt)",May,Wednesday,13422
725284,36590040,Video,Kawhi wont be denied!!,May,Wednesday,7214
709959,36590040,Video,KAWHI RISES UP on TNT! #NBAPlayoffs,May,Wednesday,5194
655567,36590040,Video,@sergeibaka off the dribble ?? (??: @nbaontnt),May,Wednesday,3088
661614,36590040,Video,The @raptors turn defense into the Kawhi SLAM!,May,Wednesday,3034
463487,36564548,Video,"@joelembiid & @sergeibaka protect the paint! #NBABreakdown ??: @sixers/@raptors G5
?: 8:00pm/et ??: @nbaontnt",May,Tuesday,80750
539003,36564548,Video,"In @BudweiserUSA #LegendaryMoments history, we showcase @kennysmiths 7-three performance in Game 1 of the 1995 #NBAFinals! Who do you have in Game 5 Wednesday...@houstonrockets or @warriors?",May,Tuesday,65358
353893,36564548,Album,Two pivotal Game 5s in tonights @nbaontnt #NBAPlayoffs action!,May,Tuesday,59718
679351,36564548,Video,@jharden13 puts up game-high 38 in @houstonrockets Game 4 victory!,May,Tuesday,16568
442193,36564548,Photo,The @houstonrockets even their series with the @warriors 2-2 on 112-108 home victory! #NBAPlayoffs,May,Tuesday,15570
590792,36564548,Video,@cp3 handle & dime to @austinjrivers on TNT! #NBAPlayoffs,May,Tuesday,13478
771710,36564548,Video,@jharden13 slips the screen for the layup to end the 3rd Q! #NBAPlayoffs (??: TNT),May,Tuesday,13098
365439,36564548,Photo,Congrats to @jharden13 of the @houstonrockets for moving up to 12th on the #NBAPlayoffs 3PM list!,May,Tuesday,11771
641727,36564548,Video,@easymoneysniper fakes & drops it off to @flyght5! #NBAPlayoffs (??: TNT),May,Tuesday,8785
757044,36564548,Video,@stephencurry30 handles early in Game 4! #NBAPlayoffs (??: TNT),May,Tuesday,7506
453792,36564548,Photo,The @bucks take 3-1 series lead over @celtics with 113-101 victory in Boston! #NBAPlayoffs,May,Tuesday,5670
647646,36564548,Video,@giannis_an34 DOWN THE LANE! #NBAPlayoffs,May,Tuesday,5475
703483,36564548,Video,?? the block & the and-1 finish for @giannis_an34 on TNT! #NBAPlayoffs,May,Tuesday,4928
590792,36564548,Video,@patconnaughton turns defense into offense with the BLOCK & SLAM for the @bucks on TNT! #NBAPlayoffs,May,Tuesday,3625
788563,36564548,Video,@kyrieirving breaks free to find @alhorford on TNT! #NBAPlayoffs,May,Tuesday,2615
590802,36542637,Video,@giannis_an34 fights through the lane for the @bucks! #NBAPlayoffs,May,Monday,84052
590802,36542637,Video,@thebledshow goes up & under for the @bucks on TNT! #NBAPlayoffs,May,Monday,84000
497890,36542637,Video,@youngamechanger is available to play for the @celtics tonight (7:00pm/et @nbaontnt)! #NBAPlayoffs,May,Monday,81895
580747,36542637,Video,"@ccapela15 protects the paint for the @houstonrockets! #NBABreakdown
...
??: @warriors x @houstonrockets Game 4
?: 9:30pm/et ??: TNT",May,Monday,81275
727837,36542637,Video,"???? GIANNIS: THE ORIGIN STORY ????
??????
??: BUCKS/CELTICS Game 4
?: 7pm/et ??: TNT",May,Monday,67570
344646,36542637,Album,The @bucks and @warriors seek commanding 3-1 leads... while the @celtics and @houstonrockets look to even it up 2-2 in tonights @nbaontnt #NBAPlayoffs action!,May,Monday,61378
383830,36542637,Photo,The #NBAPlayoffs bracket ahead of tonights action!,May,Monday,57808
333549,36542637,Photo,Join us in wishing @cp3 of the @houstonrockets a HAPPY 34th BIRTHDAY! #NBABDAY,May,Monday,54351
365075,36542637,Photo,The @raptors (2-2) and @nuggets (2-2) both won on the road in Sundays #NBAPlayoffs action!,May,Monday,12106
632584,36542637,Video,@jmglitxh27 puts up a game-high 34 to lead the @nuggets on the road! #NBAPlayoffs,May,Monday,7945
365075,36542637,Photo,The @nuggets even their series 2-2 with @trailblazers on 116-112 victory in Portland! #NBAKicks,May,Monday,7316
687122,36542637,Video,?? finds the cutting @thats_g_ for the late @nuggets bucket! #NBAPlayoffs,May,Monday,5844
401711,36542637,Photo,Nikola Jokic notches his 4th triple-double of the #NBAPlayoffs for the @nuggets!,May,Monday,5345
693460,36542637,Video,@sdotcurry beats the buzzer for 16 first-half points on TNT! #NBAPlayoffs,May,Monday,1509
693473,36515589,Video,@sdotcurry is feelin it with three straight triples! #NBAPlayoffs,May,Monday,395
632596,36515589,Video,@chiefhasarrived rocks the rim off the @damianlillard dish! #NBAPlayoffs,May,Sunday,84830
632596,36515589,Video,@jmglitxh27 hammers it home for the @nuggets on TNT! #NBAPlayoffs,May,Sunday,84369
708442,36515589,Video,How @jmglitxh27!!,May,Sunday,83514
640656,36515589,Video,Kawhi scores 22 in the second-half to lead @raptors to road W! #NBAPlayoffs,May,Sunday,81695
702309,36515589,Video,Kawhi Leonard buries the clutch triple late in the shot-clock! #NBAPlayoffs,May,Sunday,80165
